feature,mean_abs_shap,corr,year,area,season
surface_downwelling_shortwave_flux_in_air,0.1110307,0.7557132578270651,2003,North Interior,summer
slope_max,0.11459764,-0.003255188945917537,2003,North Interior,summer
LAI,0.14702784,0.8480191499661829,2003,North Interior,summer
dead_fuel_moisture_1000hr,0.16229635,-0.7263271432478311,2003,North Interior,summer
line_density_km_per_cell,0.20878056,0.8751434916359391,2003,North Interior,summer
max_air_temperature,0.5057672,0.9052526773442056,2003,North Interior,summer
road_density_km_km2,0.5338364,0.6649318283478791,2003,North Interior,summer
SWE,0.038429745,,2003,North Interior,winter
min_relative_humidity,0.0456668,-0.22020491914878398,2003,North Interior,winter
precipitation_amount,0.054450218,-0.9830374256552351,2003,North Interior,winter
max_relative_humidity,0.055199355,0.46736475123990767,2003,North Interior,winter
