feature,year,relative_importance
wind_speed,2014,1.677100254853529
SWE,2014,4.279807808666016
LAI,2014,2.9163305859142556
slope_max,2014,4.413145812091721
road_density_km_km2,2014,14.189607133074425
line_density_km_per_cell,2014,4.446053163882227
wind_direction_category_N,2014,1.3049303146068918
wind_direction_category_NE,2014,1.226340404925142
wind_direction_category_E,2014,0.826614255975061
wind_direction_category_SE,2014,1.659090482870428
wind_direction_category_S,2014,1.4936801112195988
wind_direction_category_SW,2014,2.3471733987081316
wind_direction_category_W,2014,1.4882860409779615
wind_direction_category_NW,2014,1.890027113093283
veg_group_Barren,2014,2.744032342716971
veg_group_Chaparral,2014,2.4415085005176604
veg_group_Conifer Alpine,2014,4.205903060962464
veg_group_Conifer Forest,2014,2.986457956263184
veg_group_Desert,2014,2.5616206953745784
veg_group_Grassland,2014,4.072630429915543
veg_group_Oak Woodland,2014,1.6614027123979482
veg_group_Shrub,2014,3.676004321944127
veg_group_Wetland,2014,1.972520263183615
dead_fuel_moisture_1000hr,2015,2.7054023615075145
dead_fuel_moisture_100hr,2015,2.6311105275082296
max_air_temperature,2015,12.861397085784528
max_relative_humidity,2015,1.6200324077325297
min_air_temperature,2015,2.3170188415312265
min_relative_humidity,2015,1.8535512352372023
precipitation_amount,2015,1.4517200038295395
specific_humidity,2015,1.496642548431339
surface_downwelling_shortwave_flux_in_air,2015,2.004489463715839
wind_speed,2015,1.7200414016980734
SWE,2015,5.763901165190329
LAI,2015,2.9017234802368748
slope_max,2015,4.4528062369025045
road_density_km_km2,2015,13.830789300117875
line_density_km_per_cell,2015,4.133690748685516
wind_direction_category_N,2015,1.1649576124431646
wind_direction_category_NE,2015,1.2529302208643396
wind_direction_category_E,2015,1.136941383185057
wind_direction_category_SE,2015,1.4795090660358805
wind_direction_category_S,2015,1.5579145311817368
wind_direction_category_SW,2015,3.695227356195794
wind_direction_category_W,2015,1.7707336425948197
wind_direction_category_NW,2015,1.567094623419236
veg_group_Barren,2015,2.2436081613581833
veg_group_Chaparral,2015,2.2621292702790137
veg_group_Conifer Alpine,2015,3.786328627172674
veg_group_Conifer Forest,2015,3.3109994325771672
veg_group_Desert,2015,2.6487303670470888
veg_group_Grassland,2015,4.199446881870481
veg_group_Oak Woodland,2015,1.8326991495912979
veg_group_Shrub,2015,4.346432866074947
veg_group_Wetland,2015,0.0
dead_fuel_moisture_1000hr,2016,2.7060538181914153
dead_fuel_moisture_100hr,2016,2.7388270436203177
max_air_temperature,2016,11.594341809173502
max_relative_humidity,2016,1.650040853824294
min_air_temperature,2016,2.140743093292224
min_relative_humidity,2016,1.952228659457148
precipitation_amount,2016,1.3727645738374459
specific_humidity,2016,1.5984509951904249
surface_downwelling_shortwave_flux_in_air,2016,2.109469816736972
wind_speed,2016,1.7567378666701245
SWE,2016,5.25657881115703
LAI,2016,3.1917928188808857
slope_max,2016,4.2166920582362195
road_density_km_km2,2016,12.666257683268267
line_density_km_per_cell,2016,4.681039881352353
wind_direction_category_N,2016,1.4643691142658082
wind_direction_category_NE,2016,1.353745771568576
wind_direction_category_E,2016,1.0796755501166102
wind_direction_category_SE,2016,1.2303790858381023
wind_direction_category_S,2016,1.3192043299541651
wind_direction_category_SW,2016,2.360711957495328
wind_direction_category_W,2016,1.2327245757095642
wind_direction_category_NW,2016,1.583895879222135
veg_group_Barren,2016,3.1628840515863836
veg_group_Chaparral,2016,2.3351877022648213
veg_group_Conifer Alpine,2016,3.640459038126203
veg_group_Conifer Forest,2016,3.0630235699601496
veg_group_Desert,2016,3.3625892827514163
veg_group_Grassland,2016,4.959665011731294
veg_group_Oak Woodland,2016,2.999293118568346
veg_group_Shrub,2016,4.014766724284654
veg_group_Wetland,2016,1.2054054536678196
dead_fuel_moisture_1000hr,2017,2.38419602066513
dead_fuel_moisture_100hr,2017,2.3761464957701754
max_air_temperature,2017,10.03874108217597
max_relative_humidity,2017,1.6824838600210426
min_air_temperature,2017,1.7547752660591462
min_relative_humidity,2017,1.5694710698207925
precipitation_amount,2017,1.5895351133734565
specific_humidity,2017,1.5301216639977773
surface_downwelling_shortwave_flux_in_air,2017,1.9340365218517772
wind_speed,2017,1.6655245238708107
SWE,2017,4.6772865564171555
LAI,2017,3.06728680297705
slope_max,2017,3.664917821069453
road_density_km_km2,2017,12.170088327254103
line_density_km_per_cell,2017,4.138522852750767
wind_direction_category_N,2017,1.0790287156507132
wind_direction_category_NE,2017,1.3810630666498331
wind_direction_category_E,2017,1.752518350998197
wind_direction_category_SE,2017,1.6182288095066832
wind_direction_category_S,2017,1.3961864573829215
wind_direction_category_SW,2017,1.9778776962859463
wind_direction_category_W,2017,1.5828464235035322
wind_direction_category_NW,2017,1.2643733204725232
veg_group_Barren,2017,1.962798878809261
veg_group_Chaparral,2017,2.2634148772731946
veg_group_Conifer Alpine,2017,3.6876551344190123
veg_group_Conifer Forest,2017,2.8846217712409197
veg_group_Desert,2017,2.5940496132197883
veg_group_Grassland,2017,4.822991128779504
veg_group_Oak Woodland,2017,2.0749679287822467
veg_group_Shrub,2017,10.629661799122617
veg_group_Wetland,2017,2.7845820498284994
dead_fuel_moisture_1000hr,2018,2.9586351793674663
dead_fuel_moisture_100hr,2018,2.685311968310182
max_air_temperature,2018,9.292596075843012
max_relative_humidity,2018,1.7667358521006364
min_air_temperature,2018,1.8022350492207868
min_relative_humidity,2018,1.5298828573972496
precipitation_amount,2018,1.3942829098933782
