feature,year,relative_importance
min_relative_humidity,2005,2.332927346251368
precipitation_amount,2005,2.3362019147827695
specific_humidity,2005,1.8537330252650077
surface_downwelling_shortwave_flux_in_air,2005,2.5496820407177685
wind_speed,2005,1.9148710365025512
SWE,2005,7.722839481355747
LAI,2005,3.3119038523606887
slope_max,2005,5.023726788061571
road_density_km_km2,2005,12.19063835771892
line_density_km_per_cell,2005,5.091831153707326
wind_direction_category_N,2005,2.646339596017063
wind_direction_category_NE,2005,1.9582162215181218
wind_direction_category_E,2005,1.6212662046947626
wind_direction_category_SE,2005,2.501521104905139
wind_direction_category_S,2005,3.1710244414441577
wind_direction_category_SW,2005,4.254434317674086
wind_direction_category_W,2005,1.8275274177169778
wind_direction_category_NW,2005,1.7516384227989497
dead_fuel_moisture_1000hr,2006,3.783895799730583
dead_fuel_moisture_100hr,2006,2.4293807792327824
max_air_temperature,2006,26.504372856585245
max_relative_humidity,2006,2.0341948444790194
min_air_temperature,2006,2.5597775364057402
min_relative_humidity,2006,2.013701297395507
precipitation_amount,2006,2.165660338471741
specific_humidity,2006,1.934194488521504
surface_downwelling_shortwave_flux_in_air,2006,2.5174194563738057
wind_speed,2006,1.9184392631722897
SWE,2006,6.991741959737397
LAI,2006,3.057134019709554
slope_max,2006,4.937906359904777
road_density_km_km2,2006,12.48561765883231
line_density_km_per_cell,2006,4.905642262077438
wind_direction_category_N,2006,2.6328783446840136
wind_direction_category_NE,2006,2.7117885574035454
wind_direction_category_E,2006,1.7471601124819327
wind_direction_category_SE,2006,1.8158064513767214
wind_direction_category_S,2006,3.2794312782204598
wind_direction_category_SW,2006,3.767145177403441
wind_direction_category_W,2006,1.7282017633671063
wind_direction_category_NW,2006,2.0785093944330866
dead_fuel_moisture_1000hr,2007,3.913861588735473
dead_fuel_moisture_100hr,2007,2.3172232554485164
max_air_temperature,2007,28.439060094713838
max_relative_humidity,2007,1.8791036754871782
min_air_temperature,2007,3.1806282248874758
min_relative_humidity,2007,2.210569900879122
precipitation_amount,2007,2.39836594029345
specific_humidity,2007,1.986742725325154
surface_downwelling_shortwave_flux_in_air,2007,2.4151807124827447
wind_speed,2007,1.8948447595477251
SWE,2007,6.126329782242316
LAI,2007,3.2074361321692164
slope_max,2007,4.698521835228608
road_density_km_km2,2007,13.009454237026883
line_density_km_per_cell,2007,4.618609298078864
wind_direction_category_N,2007,2.22448503921547
wind_direction_category_NE,2007,1.8585497699952376
wind_direction_category_E,2007,1.4488099527039378
wind_direction_category_SE,2007,1.445742343860459
wind_direction_category_S,2007,3.0283993251225496
wind_direction_category_SW,2007,4.135448638800958
wind_direction_category_W,2007,1.7278774937916626
wind_direction_category_NW,2007,1.8347552739631603
dead_fuel_moisture_1000hr,2008,3.9547859624923145
dead_fuel_moisture_100hr,2008,2.4375372329045533
max_air_temperature,2008,25.898797721731697
max_relative_humidity,2008,1.745780575965617
min_air_temperature,2008,2.8127714901378744
min_relative_humidity,2008,2.234275617480414
precipitation_amount,2008,2.3329916827488173
specific_humidity,2008,1.7931499214696829
surface_downwelling_shortwave_flux_in_air,2008,2.5273761955991283
wind_speed,2008,1.9397200739590263
SWE,2008,6.426859901502285
LAI,2008,3.6787741029290397
slope_max,2008,4.2653856055523995
road_density_km_km2,2008,14.400336305388969
line_density_km_per_cell,2008,5.390644719524217
wind_direction_category_N,2008,2.381586762270992
wind_direction_category_NE,2008,1.9419708103145739
wind_direction_category_E,2008,1.6180957337550852
wind_direction_category_SE,2008,1.6471936846797968
wind_direction_category_S,2008,3.6630378248674615
wind_direction_category_SW,2008,2.580024155090592
wind_direction_category_W,2008,2.2050517003319996
wind_direction_category_NW,2008,2.1238522193034646
dead_fuel_moisture_1000hr,2009,5.2094840081484275
dead_fuel_moisture_100hr,2009,2.4236537479193676
max_air_temperature,2009,20.927143083878416
max_relative_humidity,2009,1.7860196191806375
min_air_temperature,2009,3.5314072302922495
min_relative_humidity,2009,2.0463036248893944
precipitation_amount,2009,2.157713571893131
specific_humidity,2009,1.8052989411908307
surface_downwelling_shortwave_flux_in_air,2009,2.435876756514398
wind_speed,2009,1.8219106296283236
SWE,2009,6.737149545388852
LAI,2009,3.354346682365909
slope_max,2009,4.821396253969361
road_density_km_km2,2009,16.97959449989982
line_density_km_per_cell,2009,5.170192277605641
wind_direction_category_N,2009,2.349943225803683
wind_direction_category_NE,2009,1.9008756892772232
wind_direction_category_E,2009,1.8913467499428773
wind_direction_category_SE,2009,1.3291013945969377
wind_direction_category_S,2009,3.4492425040317536
wind_direction_category_SW,2009,3.0033720261117973
wind_direction_category_W,2009,2.4054105152050638
wind_direction_category_NW,2009,2.463217422265904
dead_fuel_moisture_1000hr,2010,4.388011464215926
dead_fuel_moisture_100hr,2010,2.646248515292597
max_air_temperature,2010,17.534465094576284
max_relative_humidity,2010,1.9535697165580475
min_air_temperature,2010,5.230451639741107
min_relative_humidity,2010,2.1955690922068527
precipitation_amount,2010,2.1803175635833556
specific_humidity,2010,1.9714693252732183
surface_downwelling_shortwave_flux_in_air,2010,2.421287665422979
wind_speed,2010,1.9425197490723562
SWE,2010,7.033624262463571
LAI,2010,3.485607167286364
slope_max,2010,5.364949015604134
road_density_km_km2,2010,18.35379026245924
line_density_km_per_cell,2010,5.318441398937195
wind_direction_category_N,2010,2.1283712813970403
wind_direction_category_NE,2010,1.5928895754874461
wind_direction_category_E,2010,1.8907052287521957
wind_direction_category_SE,2010,1.8172741061168183
wind_direction_category_S,2010,2.8262231226199463
wind_direction_category_SW,2010,3.7104583596703735
wind_direction_category_W,2010,1.9823081280062158
wind_direction_category_NW,2010,2.0314482652567354
dead_fuel_moisture_1000hr,2011,4.591017864811002
dead_fuel_moisture_100hr,2011,2.6451364343045016
max_air_temperature,2011,18.306674209607145
max_relative_humidity,2011,1.896262212992795
min_air_temperature,2011,3.5873831488886925
min_relative_humidity,2011,2.245749333533532
precipitation_amount,2011,1.9752211343835755
specific_humidity,2011,1.9698047012784359
surface_downwelling_shortwave_flux_in_air,2011,2.437172448786298
wind_speed,2011,1.873474686477465
SWE,2011,7.174290232795198
LAI,2011,3.2587057738113674
slope_max,2011,5.083255985969827
road_density_km_km2,2011,18.764233485220934
line_density_km_per_cell,2011,5.668008061444113
wind_direction_category_N,2011,2.1804128080110585
wind_direction_category_NE,2011,2.1792344592061537
wind_direction_category_E,2011,1.7152035652732736
wind_direction_category_SE,2011,1.2500197093164813
wind_direction_category_S,2011,3.2028661665686977
wind_direction_category_SW,2011,3.075979013497189
wind_direction_category_W,2011,2.5249310317195084
wind_direction_category_NW,2011,2.3949635321027545
dead_fuel_moisture_1000hr,2012,3.9673154127650663
dead_fuel_moisture_100hr,2012,2.8293216281072584
max_air_temperature,2012,19.054996033668736
max_relative_humidity,2012,1.8332212531742171
min_air_temperature,2012,3.6173286877613315
min_relative_humidity,2012,2.103042020889422
precipitation_amount,2012,2.0401325081655863
specific_humidity,2012,2.053914865592316
surface_downwelling_shortwave_flux_in_air,2012,2.403527785261888
wind_speed,2012,1.8108076538326874
SWE,2012,6.820553033177581
LAI,2012,3.33179400439319
slope_max,2012,5.134442611336022
road_density_km_km2,2012,20.69010888954417
line_density_km_per_cell,2012,5.2234638924310195
wind_direction_category_N,2012,1.7698375323371338
wind_direction_category_NE,2012,2.104277176380998
wind_direction_category_E,2012,1.5741464766355429
wind_direction_category_SE,2012,1.4365443420815185
wind_direction_category_S,2012,3.2279840733562732
wind_direction_category_SW,2012,3.080945335748447
wind_direction_category_W,2012,1.9761975785876866
wind_direction_category_NW,2012,1.9160972047719096
dead_fuel_moisture_1000hr,2013,4.857454164515142
dead_fuel_moisture_100hr,2013,3.667233433474307
max_air_temperature,2013,14.04689165420061
max_relative_humidity,2013,1.9575166050387376
min_air_temperature,2013,5.093160117664123
min_relative_humidity,2013,2.595352017132173
precipitation_amount,2013,2.330372602116998
specific_humidity,2013,2.0907720392662537
surface_downwelling_shortwave_flux_in_air,2013,2.5195826378439525
wind_speed,2013,2.33628971596155
SWE,2013,5.164182718372364
LAI,2013,3.7843068148829135
slope_max,2013,5.312473298402726
road_density_km_km2,2013,20.23406803582352
line_density_km_per_cell,2013,6.129078095384946
wind_direction_category_N,2013,1.7997553575164962
wind_direction_category_NE,2013,1.6630380629590917
wind_direction_category_E,2013,1.4651358777452919
wind_direction_category_SE,2013,1.081811829549714
