,LONGITUDE,LATITUDE,DISCOVERY_DATE,CONT_DATE,max_FIRE_SIZE,min_FIRE_SIZE,FOD_ID_cnt,diff_FIRE_SIZE
863,-121.88694444,37.48388888,8/22/2005,8/22/2005,0.5,0.5,2,0.0
864,-123.72611111,41.2,9/20/2006,9/20/2006,0.8,0.5,2,0.30000000000000004
865,-121.668708,40.88189,2/27/2012,missing date,1.0,1.0,2,0.0
866,-122.757569,41.719639,7/10/2001,7/10/2001,0.1,0.1,2,0.0
867,-120.650589,40.421642,8/17/2020,missing date,0.2,0.1,2,0.1
868,-123.205,39.015,8/27/2001,8/27/2001,1.0,1.0,2,0.0
869,-118.78925,36.02753,4/26/2008,4/26/2008,0.1,0.1,2,0.0
870,-121.91,39.83305555,10/26/2003,10/26/2003,11.0,1.0,2,10.0
871,-121.585341,37.582904,10/24/2019,missing date,41.0,41.0,2,0.0
872,-121.58694444,39.135,5/21/2002,5/21/2002,0.5,0.1,2,0.4
873,-120.418617,37.257833,8/31/2016,8/31/2016,0.76,0.1,2,0.66
874,-118.5574,34.4392,7/19/2007,missing date,0.11,0.11,2,0.0
875,-120.96833333,41.95833333,7/21/2008,7/22/2008,0.1,0.1,2,0.0
876,-121.34611111,39.32111111,7/11/2007,missing date,3.0,0.3,2,2.7
877,-120.71194444,38.3,7/5/2008,missing date,0.5,0.1,2,0.4
878,-116.962332,32.576815,8/26/2007,missing date,1.0,1.0,2,0.0
879,-116.19,33.70111111,9/26/2007,missing date,1.0,1.0,2,0.0
880,-121.778479,38.555404,7/19/2006,missing date,0.2,0.1,2,0.1
881,-117.22194444,33.255,7/12/2008,missing date,1.5,1.0,2,0.5
882,-120.917358,39.095192,8/27/2007,8/27/2007,0.1,0.1,2,0.0
883,-119.96805555,36.24805555,5/5/2001,5/5/2001,0.1,0.1,2,0.0
884,-120.861087,38.100776,7/3/2010,missing date,0.5,0.2,2,0.3
885,-121.877,41.0665,8/3/2009,missing date,1.0,1.0,2,0.0
886,-120.49111111,37.79111111,6/21/2006,6/21/2006,85.0,2.0,2,83.0
887,-117.235,34.11388888,5/20/2003,5/20/2003,1.0,0.5,2,0.5
888,-123.6639,41.0346,7/20/2004,7/20/2004,1.0,0.5,2,0.5
889,-121.18694444,37.47194444,7/14/2001,7/14/2001,0.5,0.1,2,0.4
890,-123.11694444,39.38694444,9/1/2008,missing date,1.0,0.3,2,0.7
891,-116.86805555,33.94,7/14/2005,7/14/2005,6.0,2.0,2,4.0
892,-118.336,33.3327,7/27/2006,missing date,1.0,1.0,2,0.0
893,-123.6761,41.0586,9/13/2015,9/13/2015,0.1,0.1,2,0.0
894,-118.58894398,34.43060938,7/14/2012,missing date,0.24,0.24,2,0.0
895,-122.756639,41.676119,7/11/2001,7/11/2001,0.1,0.1,2,0.0
896,-120.97888888,38.87694444,8/22/2003,8/22/2003,0.1,0.1,2,0.0
897,-119.6949,36.63446,8/4/2017,8/4/2017,0.1,0.01,2,0.09000000000000001
898,-118.0752,34.5802,6/30/2010,missing date,1.0,0.11,2,0.89
899,-119.045,35.92805555,7/15/2003,7/15/2003,0.1,0.1,2,0.0
900,-121.047576,39.22927,11/28/2020,missing date,1.0,0.5,2,0.5
901,-118.3738,33.7489,7/16/2005,missing date,0.11,0.11,2,0.0
902,-117.287723,33.946552,1/24/2011,missing date,1.0,1.0,2,0.0
903,-122.24805555,40.51305555,3/30/2002,3/30/2002,0.3,0.1,2,0.19999999999999998
904,-121.52309,39.466354,5/22/2010,missing date,0.1,0.1,2,0.0
905,-121.047576,39.22927,10/17/2020,missing date,1.0,0.1,2,0.9
906,-123.775,39.61111111,10/6/2003,10/6/2003,2.0,2.0,2,0.0
907,-117.375,34.20111111,7/19/2003,7/19/2003,0.9,0.1,2,0.8
908,-119.709202,35.311792,6/21/2006,missing date,5.0,1.0,2,4.0
909,-121.36805555,38.72888888,7/9/2007,missing date,3.0,3.0,2,0.0
910,-121.59611111,37.715,7/13/2005,7/13/2005,10.0,4.0,2,6.0
911,-116.71111111,33.10194444,2/10/2002,2/10/2002,0.1,0.1,2,0.0
912,-121.22,38.77388888,7/26/2005,7/26/2005,0.5,0.5,2,0.0
913,-121.540039,39.595669,6/6/2006,6/6/2006,0.5,0.1,2,0.4
914,-116.86805556,34.11277778,8/10/2004,8/11/2004,0.1,0.1,2,0.0
915,-120.00027778,38.15027778,9/25/2001,9/25/2001,0.1,0.1,2,0.0
916,-123.6678,41.0332,9/4/2003,9/4/2003,0.1,0.1,2,0.0
917,-119.286413,36.355051,5/18/2018,missing date,0.1,0.1,2,0.0
918,-114.722908,33.609316,5/11/2018,5/11/2018,0.01,0.01,2,0.0
919,-120.96727,37.26743,7/1/2005,7/1/2005,0.1,0.1,2,0.0
920,-117.339552,33.925649,9/14/2018,missing date,0.25,0.05,2,0.2
921,-119.721789,36.735926,8/3/2016,missing date,0.01,0.01,2,0.0
922,-119.825,36.43805555,7/3/2007,missing date,1.0,1.0,2,0.0
923,-119.690133,36.746673,12/14/2017,missing date,0.5,0.01,2,0.49
924,-118.7216,34.7649,7/22/2006,missing date,2.11,1.0,2,1.1099999999999999
925,-116.668195,33.922691,7/24/2012,missing date,1.0,0.1,2,0.9
926,-121.66111111,39.51611111,9/12/2003,9/12/2003,5.0,1.0,2,4.0
927,-119.06305555,35.85611111,5/27/2001,5/27/2001,2.5,0.3,2,2.2
928,-121.109822,39.054133,6/25/2005,6/25/2005,0.1,0.1,2,0.0
929,-117.080295,32.59298,5/24/2020,missing date,1.0,1.0,2,0.0
930,-120.06305556,39.7175,7/27/2003,7/27/2003,0.1,0.1,2,0.0
931,-116.498395,33.815909,5/14/2017,missing date,0.01,0.01,2,0.0
932,-119.811291,34.426342,10/5/2007,missing date,0.1,0.1,2,0.0
933,-116.87694444,33.945,6/16/2008,missing date,30.0,1.0,2,29.0
934,-120.93388889,40.14777778,9/6/2019,missing date,0.1,0.1,2,0.0
935,-117.285,34.19972222,8/23/2011,8/23/2011,1.0,0.1,2,0.9
936,-123.6678,41.0499,10/28/2002,10/28/2002,0.1,0.1,2,0.0
937,-121.43972222,41.75305556,8/20/2004,8/20/2004,0.2,0.1,2,0.1
938,-117.04305555,34.02694444,6/26/2001,6/26/2001,0.1,0.1,2,0.0
939,-121.335563,38.703198,6/23/2013,missing date,0.01,0.01,2,0.0
940,-120.91805555,38.34,4/14/2008,missing date,1.0,1.0,2,0.0
941,-120.80694444,35.95805555,6/28/2002,6/28/2002,30.0,2.0,2,28.0
942,-124.151331,41.725681,9/13/2014,9/13/2014,0.1,0.1,2,0.0
943,-124.151331,41.717347,9/13/2014,9/13/2014,0.1,0.1,2,0.0
944,-119.27194444,35.88388888,11/8/2006,missing date,1.0,1.0,2,0.0
945,-118.929538,36.056413,4/26/2016,4/26/2016,2.2,0.4,2,1.8000000000000003
946,-116.668195,33.922691,7/27/2016,7/27/2016,1.0,1.0,2,0.0
947,-117.445,34.01194444,8/5/2005,8/5/2005,0.3,0.1,2,0.19999999999999998
948,-121.289338,37.94632,5/13/2013,missing date,1.0,0.1,2,0.9
949,-124.1522,41.7261,8/15/2015,8/15/2015,0.1,0.1,2,0.0
950,-119.27805555,36.53805555,7/18/2001,7/18/2001,0.1,0.1,2,0.0
951,-116.20694444,33.60611111,6/29/2003,6/29/2003,0.2,0.1,2,0.1
952,-122.098089,40.730211,8/12/2004,8/12/2004,0.1,0.1,2,0.0
953,-118.59194444,36.29666667,7/24/2006,7/24/2006,0.1,0.1,2,0.0
954,-116.86805555,33.925,5/28/2003,5/28/2003,2.0,0.3,2,1.7
955,-118.1526,34.6603,7/26/2007,missing date,0.5,0.5,2,0.0
956,-123.11,39.39694444,6/21/2008,missing date,20.0,1.0,2,19.0
957,-123.6678,41.0332,10/24/2002,10/24/2002,0.1,0.1,2,0.0
958,-123.6678,41.0332,11/2/2002,11/2/2002,0.1,0.1,2,0.0
959,-119.28694444,36.53,5/22/2007,missing date,4.0,1.0,2,3.0
960,-121.6609,37.9562,5/6/2010,missing date,1.0,0.01,2,0.99
961,-120.710714,35.540804,7/4/2020,missing date,1.0,1.0,2,0.0
962,-123.6678,41.0332,7/15/2002,7/15/2002,0.2,0.1,2,0.1
963,-121.336679,38.683027,6/16/2018,missing date,0.01,0.01,2,0.0
964,-121.649314,39.364146,8/3/2012,missing date,1.5,0.5,2,1.0
965,-121.59611111,39.32111111,4/1/2009,missing date,0.1,0.1,2,0.0
966,-116.86805555,33.92388888,12/3/2006,missing date,1.0,0.1,2,0.9
967,-114.5483,34.7367,10/25/2002,10/25/2002,0.3,0.3,2,0.0
968,-117.235033,33.92455,4/9/2015,4/9/2015,0.25,0.25,2,0.0
969,-121.336582,38.670009,10/17/2010,missing date,0.01,0.01,2,0.0
970,-123.495,39.5,9/3/2003,9/3/2003,0.5,0.3,2,0.2
971,-124.15135,41.077433,6/26/2015,6/26/2015,0.01,0.01,2,0.0
972,-123.7512,41.0832,8/23/2001,8/23/2001,3.0,1.0,2,2.0
973,-124.1561,41.7292,7/5/2018,7/5/2018,0.1,0.1,2,0.0
974,-124.1561,41.7292,7/1/2018,7/1/2018,0.1,0.1,2,0.0
975,-121.5164,41.7425,7/10/2007,7/30/2007,0.1,0.1,2,0.0
976,-121.287,37.992986,4/27/2009,missing date,0.1,0.1,2,0.0
977,-121.59305555,37.09305555,8/5/2001,8/5/2001,3.0,0.5,2,2.5
978,-123.6709,41.0346,7/5/2005,7/5/2005,0.1,0.1,2,0.0
979,-123.130469,39.131561,7/8/2001,7/9/2001,51.0,6.0,2,45.0
980,-119.70305555,36.64888888,7/9/2010,missing date,1.0,1.0,2,0.0
981,-121.59305555,37.09305555,8/8/2001,8/8/2001,0.3,0.3,2,0.0
982,-119.090599,36.274399,7/6/2014,7/6/2014,0.1,0.02,2,0.08
983,-122.31611111,41.28388888,7/4/2002,7/4/2002,0.1,0.1,2,0.0
984,-120.065,36.975,7/3/2004,7/3/2004,0.5,0.1,2,0.4
985,-120.970223,37.658222,7/23/2006,missing date,1.0,0.1,2,0.9
986,-122.083333,38.433333,8/15/2018,missing date,0.01,0.01,2,0.0
987,-121.51805555,37.05,8/22/2002,8/22/2002,0.1,0.1,2,0.0
988,-121.51805555,37.05,9/7/2002,9/7/2002,0.1,0.1,2,0.0
989,-121.19111111,41.03111111,6/23/2008,missing date,4.0,2.0,2,2.0
990,-121.880572,37.597497,9/6/2005,9/6/2005,0.1,0.1,2,0.0
991,-122.325177,38.293353,9/7/2010,missing date,0.25,0.05,2,0.2
992,-117.453748,34.07187,8/13/2020,missing date,1.0,1.0,2,0.0
993,-117.453487,34.124013,10/24/2019,missing date,0.01,0.01,2,0.0
994,-117.072201,32.782548,6/6/2018,missing date,0.1,0.1,2,0.0
995,-121.277926,37.676982,6/3/2018,missing date,0.1,0.1,2,0.0
996,-119.27694444,35.89888888,5/29/2006,5/29/2006,10.0,2.0,2,8.0
997,-119.055739,36.21755,6/15/2004,6/15/2004,130.0,30.0,2,100.0
998,-121.190912,38.820492,7/21/2017,missing date,0.1,0.05,2,0.05
999,-120.975669,38.66385,7/21/2001,7/21/2001,0.1,0.1,2,0.0
1000,-119.732402,37.381133,6/27/2018,6/28/2018,0.17,0.15,2,0.020000000000000018
1001,-122.083333,38.433333,10/2/2018,missing date,1.0,0.1,2,0.9
1002,-123.716117,41.192383,5/12/2013,5/12/2013,3.0,1.0,2,2.0
1003,-120.49388888,37.51388888,11/2/2003,11/2/2003,3.0,1.0,2,2.0
1004,-124.16888888,41.79611111,7/8/2008,missing date,2.0,1.0,2,1.0
1005,-123.19805556,40.36055556,8/5/2012,8/5/2012,0.01,0.01,2,0.0
1006,-121.5179,41.70958,7/9/2001,7/9/2001,0.1,0.1,2,0.0
1007,-117.346198,33.695058,3/30/2018,3/30/2018,1.0,1.0,2,0.0
1008,-121.59305555,37.09305555,8/28/2001,8/28/2001,1.0,0.1,2,0.9
1009,-122.40305555,38.51611111,8/31/2002,8/31/2002,2.0,0.3,2,1.7
1010,-120.86194444,40.345,7/11/2007,missing date,0.1,0.1,2,0.0
1011,-119.08888888,36.39194444,9/4/2006,9/4/2006,11.0,3.0,2,8.0
1012,-119.05388888,36.14611111,6/3/2003,6/3/2003,0.9,0.1,2,0.8
1013,-122.19,39.48,5/3/2004,5/3/2004,1.0,0.5,2,0.5
1014,-119.395,37.14805555,8/12/2006,8/12/2006,0.5,0.1,2,0.4
1015,-122.432336,37.715108,7/8/2017,missing date,4.0,0.13,2,3.87
1016,-121.59305555,37.06388888,8/3/2001,8/3/2001,0.2,0.1,2,0.1
1017,-120.05611111,36.93611111,8/22/2008,missing date,0.1,0.1,2,0.0
1018,-116.198373,33.569276,6/17/2017,6/17/2017,0.2,0.1,2,0.1
1019,-121.43694444,39.54805555,9/23/2006,9/23/2006,1.0,0.5,2,0.5
1020,-122.71916667,41.13416667,7/30/2003,7/31/2003,0.2,0.1,2,0.1
1021,-122.081832,41.697451,9/30/2016,9/30/2016,0.1,0.01,2,0.09000000000000001
1022,-119.054,36.406331,8/5/2004,8/5/2004,0.1,0.1,2,0.0
1023,-121.02694444,38.20194444,11/2/2006,missing date,5.0,1.0,2,4.0
1024,-118.0675,33.9962,2/18/2007,missing date,0.11,0.11,2,0.0
1025,-121.58694444,39.13611111,10/19/2008,missing date,0.1,0.1,2,0.0
1026,-122.43305555,40.00888888,6/2/2001,6/2/2001,1.0,0.1,2,0.9
1027,-122.08129,37.988318,6/22/2020,missing date,0.5,0.01,2,0.49
1028,-120.70388888,35.62388888,9/2/2004,9/2/2004,1.0,1.0,2,0.0
1029,-123.766167,41.241233,6/2/2018,6/3/2018,0.4,0.4,2,0.0
1030,-121.59305555,37.09305555,5/30/2001,5/30/2001,0.2,0.1,2,0.1
1031,-118.0678,33.8766,8/8/2009,missing date,0.11,0.11,2,0.0
1032,-119.27694444,35.885,6/21/2006,6/21/2006,2.0,1.0,2,1.0
1033,-120.270399,36.29338,8/6/2010,missing date,3.0,1.0,2,2.0
1034,-119.09,36.305,7/5/2007,missing date,0.2,0.1,2,0.1
1035,-118.0369,34.569,5/13/2010,missing date,0.11,0.11,2,0.0
1036,-121.988075,38.046298,10/21/2005,missing date,0.1,0.1,2,0.0
1037,-120.97666667,41.60861111,7/10/2001,7/10/2001,0.1,0.1,2,0.0
1038,-122.596711,38.654873,7/24/2014,7/24/2014,0.1,0.1,2,0.0
1039,-119.27694444,35.885,7/11/2005,7/11/2005,0.5,0.3,2,0.2
1040,-119.09111111,36.24611111,6/15/2004,6/15/2004,0.1,0.1,2,0.0
1041,-118.92,36.11694444,7/9/2003,7/9/2003,2.0,2.0,2,0.0
1042,-122.565965,38.792317,9/16/2012,missing date,0.5,0.3,2,0.2
1043,-123.43305555,38.86194444,7/2/2008,missing date,10.0,1.0,2,9.0
1044,-118.333333,34.05,7/5/2019,missing date,0.11,0.11,2,0.0
1045,-121.67888888,39.31194444,6/1/2001,6/1/2001,1.0,0.1,2,0.9
1046,-123.6592,41.0317,7/12/2011,7/12/2011,2.0,0.1,2,1.9
1047,-120.975251,37.649041,7/6/2007,missing date,0.3,0.1,2,0.19999999999999998
1048,-124.1625,40.8022,8/5/2006,8/5/2006,2.0,0.1,2,1.9
1049,-120.802955,38.727653,6/2/2020,missing date,0.17,0.01,2,0.16
1050,-121.287782,37.940627,5/2/2013,missing date,20.0,0.01,2,19.99
1051,-116.8671,33.014919,6/22/2001,6/22/2001,0.2,0.2,2,0.0
1052,-120.5994,41.2749,7/9/2001,7/10/2001,0.2,0.1,2,0.1
1053,-123.77,40.89611111,9/22/2007,missing date,0.1,0.1,2,0.0
1054,-118.1733,33.8045,4/18/2007,missing date,0.11,0.11,2,0.0
1055,-117.13694444,34.27222222,11/30/2006,11/30/2006,0.1,0.1,2,0.0
1056,-121.116893,37.494321,8/10/2020,missing date,1.5,1.0,2,0.5
1057,-120.41,37.09111111,4/27/2004,4/27/2004,6.0,0.1,2,5.9
1058,-119.275,35.88388888,12/4/2006,missing date,1.0,1.0,2,0.0
1059,-121.774593,39.71147,9/1/2012,missing date,3.0,1.0,2,2.0
1060,-120.59611111,36.58305555,5/13/2005,5/13/2005,0.8,0.1,2,0.7000000000000001
1061,-121.58694444,39.135,7/12/2005,7/12/2005,0.3,0.3,2,0.0
1062,-121.68,40.68888888,8/6/2008,missing date,1.0,1.0,2,0.0
1063,-118.90194444,36.015,6/30/2005,6/30/2005,0.5,0.1,2,0.4
1064,-121.77305555,36.93194444,7/12/2002,7/12/2002,0.1,0.1,2,0.0
1065,-120.166666,34.733333,10/19/2020,missing date,1.0,1.0,2,0.0
1066,-119.27710432,35.92831387,5/28/2002,5/28/2002,2.0,0.1,2,1.9
1067,-117.561944,34.3761111,8/5/2010,8/5/2010,1.0,1.0,2,0.0
1068,-116.8675,32.9334,10/7/2002,10/7/2002,1.0,0.1,2,0.9
