feature,mean_abs_shap,corr,year,area,season
dead_fuel_moisture_1000hr,0.25413787,-0.7135747489368224,2002,North Interior,summer
road_density_km_km2,0.5565836,0.7300350564230417,2002,North Interior,summer
max_air_temperature,0.5696019,0.9523056190346583,2002,North Interior,summer
veg_group_Grassland,0.054472007,-0.9809327819804272,2002,North Interior,winter
wind_speed,0.05644236,0.6317708418312696,2002,North Interior,winter
max_relative_humidity,0.059990678,0.4942713285685822,2002,North Interior,winter
dead_fuel_moisture_100hr,0.090105616,-0.6860475119976156,2002,North Interior,winter
slope_max,0.09890421,0.06620235152401618,2002,North Interior,winter
surface_downwelling_shortwave_flux_in_air,0.10553208,-0.10524567443951396,2002,North Interior,winter
min_relative_humidity,0.13476199,-0.9093383864995134,2002,North Interior,winter
precipitation_amount,0.13479845,-0.9621859415226118,2002,North Interior,winter
line_density_km_per_cell,0.17428614,0.6337272818640697,2002,North Interior,winter
min_air_temperature,0.18573982,0.684556333516264,2002,North Interior,winter
specific_humidity,0.20504457,-0.7083179193595597,2002,North Interior,winter
dead_fuel_moisture_1000hr,0.2611793,-0.8978636628428918,2002,North Interior,winter
LAI,0.30056363,0.8038719222886201,2002,North Interior,winter
max_air_temperature,0.5644517,0.9756719849393609,2002,North Interior,winter
road_density_km_km2,0.64588755,0.7737063472232282,2002,North Interior,winter
wind_direction_category_S,0.042875364,0.8757852316911618,2002,Sierra Nevada,summer
veg_group_Grassland,0.05258629,-0.9580575629305869,2002,Sierra Nevada,summer
wind_speed,0.053422306,0.8599897351885184,2002,Sierra Nevada,summer
min_air_temperature,0.05407132,0.6608535120982255,2002,Sierra Nevada,summer
dead_fuel_moisture_100hr,0.057454795,-0.45050540263236705,2002,Sierra Nevada,summer
min_relative_humidity,0.06380481,0.1135159919461125,2002,Sierra Nevada,summer
max_relative_humidity,0.079802044,0.5701362635838995,2002,Sierra Nevada,summer
surface_downwelling_shortwave_flux_in_air,0.09121316,0.7185126932244321,2002,Sierra Nevada,summer
specific_humidity,0.09372792,-0.767063391924445,2002,Sierra Nevada,summer
slope_max,0.13638596,0.18390698779478273,2002,Sierra Nevada,summer
line_density_km_per_cell,0.17994659,0.8294556291266292,2002,Sierra Nevada,summer
LAI,0.18347679,0.810870639920425,2002,Sierra Nevada,summer
dead_fuel_moisture_1000hr,0.2771987,-0.2718732467861536,2002,Sierra Nevada,summer
max_air_temperature,0.5062334,0.9426136365331064,2002,Sierra Nevada,summer
road_density_km_km2,0.6247573,0.7233073458179327,2002,Sierra Nevada,summer
max_relative_humidity,0.05368943,0.5418783510046504,2002,Sierra Nevada,winter
dead_fuel_moisture_100hr,0.055375606,-0.5080253566482358,2002,Sierra Nevada,winter
precipitation_amount,0.06701738,-0.9236943308303973,2002,Sierra Nevada,winter
wind_speed,0.07308949,0.8208407613152783,2002,Sierra Nevada,winter
min_air_temperature,0.07745552,0.6120702565942041,2002,Sierra Nevada,winter
veg_group_Grassland,0.07751399,-0.9623500291897614,2002,Sierra Nevada,winter
min_relative_humidity,0.08662714,-0.547363906952705,2002,Sierra Nevada,winter
surface_downwelling_shortwave_flux_in_air,0.09832398,0.4696349840558151,2002,Sierra Nevada,winter
slope_max,0.12017924,0.5421657431707309,2002,Sierra Nevada,winter
line_density_km_per_cell,0.14895564,0.6968585934506677,2002,Sierra Nevada,winter
specific_humidity,0.18831049,-0.7398251111314001,2002,Sierra Nevada,winter
LAI,0.19201466,0.7996015499312147,2002,Sierra Nevada,winter
dead_fuel_moisture_1000hr,0.2406846,-0.6994135688931239,2002,Sierra Nevada,winter
max_air_temperature,0.36151037,0.925815298683311,2002,Sierra Nevada,winter
road_density_km_km2,0.6037899,0.7835622735536705,2002,Sierra Nevada,winter
veg_group_Shrub,0.052206926,0.8051814773620928,2002,South Coast,summer
veg_group_Grassland,0.053607557,-0.3980093978319873,2002,South Coast,summer
min_air_temperature,0.05754326,0.4259777051588774,2002,South Coast,summer
veg_group_Chaparral,0.06856308,0.7218666016916232,2002,South Coast,summer
min_relative_humidity,0.078640506,-0.4347210830692949,2002,South Coast,summer
specific_humidity,0.08354188,-0.5069642385269723,2002,South Coast,summer
max_relative_humidity,0.09861482,0.7597978399720444,2002,South Coast,summer
wind_direction_category_SW,0.10769983,0.8769669227772173,2002,South Coast,summer
surface_downwelling_shortwave_flux_in_air,0.12214522,0.721052670020669,2002,South Coast,summer
slope_max,0.16163044,-0.14388628727977065,2002,South Coast,summer
dead_fuel_moisture_1000hr,0.18078615,-0.1939577028478509,2002,South Coast,summer
LAI,0.20674941,0.5915173218643437,2002,South Coast,summer
line_density_km_per_cell,0.2836983,0.5408057824987778,2002,South Coast,summer
max_air_temperature,0.7444446,0.8502936184843346,2002,South Coast,summer
road_density_km_km2,0.76089567,0.6874412693344265,2002,South Coast,summer
veg_group_Grassland,0.055585247,-0.6579356255438858,2002,South Coast,winter
dead_fuel_moisture_100hr,0.058726333,0.358861082725111,2002,South Coast,winter
min_air_temperature,0.06106844,0.5660136907768732,2002,South Coast,winter
wind_direction_category_SW,0.07306989,0.9165541696313583,2002,South Coast,winter
wind_speed,0.073881626,0.7191221251458353,2002,South Coast,winter
max_relative_humidity,0.095299065,0.7600891815926815,2002,South Coast,winter
min_relative_humidity,0.09590118,-0.6407777263481435,2002,South Coast,winter
surface_downwelling_shortwave_flux_in_air,0.1340282,-0.023116852449699885,2002,South Coast,winter
specific_humidity,0.13513726,-0.7162320719468378,2002,South Coast,winter
slope_max,0.1522521,-0.20807093755146994,2002,South Coast,winter
dead_fuel_moisture_1000hr,0.21427447,-0.610340001098979,2002,South Coast,winter
line_density_km_per_cell,0.25194567,0.5600183450820926,2002,South Coast,winter
LAI,0.30357096,0.7445489381433129,2002,South Coast,winter
max_air_temperature,0.46176773,0.9553376368925656,2002,South Coast,winter
road_density_km_km2,0.71662515,0.5655209644293613,2002,South Coast,winter
veg_group_Grassland,0.041588936,-0.919318983246967,2003,North Coast,summer
dead_fuel_moisture_100hr,0.04482213,-0.1608750985396887,2003,North Coast,summer
min_air_temperature,0.047642224,0.4487469977324431,2003,North Coast,summer
veg_group_Shrub,0.06315539,0.841823038463641,2003,North Coast,summer
min_relative_humidity,0.07214784,-0.2505422633177158,2003,North Coast,summer
specific_humidity,0.091122,-0.6215039433598436,2003,North Coast,summer
wind_speed,0.10095841,0.6956797514318208,2003,North Coast,summer
max_relative_humidity,0.10423931,0.8781896425416605,2003,North Coast,summer
dead_fuel_moisture_1000hr,0.16701414,-0.8687056891035544,2003,North Coast,summer
surface_downwelling_shortwave_flux_in_air,0.19230022,0.7287264381299773,2003,North Coast,summer
LAI,0.24987993,0.6951257170462221,2003,North Coast,summer
slope_max,0.3120158,0.2799685744820411,2003,North Coast,summer
line_density_km_per_cell,0.35000545,0.2950026997165289,2003,North Coast,summer
max_air_temperature,0.6705218,0.8389224896998363,2003,North Coast,summer
road_density_km_km2,0.7617432,0.5746197277838663,2003,North Coast,summer
veg_group_Shrub,0.052925125,0.79186427793194,2003,North Coast,winter
min_air_temperature,0.053997386,0.08949978826527241,2003,North Coast,winter
min_relative_humidity,0.07768885,-0.49225793886226143,2003,North Coast,winter
dead_fuel_moisture_100hr,0.08542249,-0.2852173906653207,2003,North Coast,winter
max_relative_humidity,0.09557879,0.6648809270625871,2003,North Coast,winter
veg_group_Conifer Alpine,0.09916178,0.8268722321772408,2003,North Coast,winter
surface_downwelling_shortwave_flux_in_air,0.12132769,0.006480516755304129,2003,North Coast,winter
wind_speed,0.12669116,0.8041628140849828,2003,North Coast,winter
specific_humidity,0.14576665,-0.8245998876623105,2003,North Coast,winter
LAI,0.14839236,0.6954472880787975,2003,North Coast,winter
slope_max,0.2057341,0.16656722753206113,2003,North Coast,winter
dead_fuel_moisture_1000hr,0.24314898,-0.8432738352572829,2003,North Coast,winter
line_density_km_per_cell,0.26595202,0.20353022303893664,2003,North Coast,winter
max_air_temperature,0.39454862,0.8998235652539871,2003,North Coast,winter
road_density_km_km2,0.6384886,0.6290156839927576,2003,North Coast,winter
wind_direction_category_SW,0.04332381,0.9138864956873445,2003,Central Coast,summer
wind_speed,0.051941317,0.5911743200576911,2003,Central Coast,summer
min_relative_humidity,0.055190116,-0.44674237261164723,2003,Central Coast,summer
dead_fuel_moisture_100hr,0.06287915,-0.2297097655771721,2003,Central Coast,summer
veg_group_Shrub,0.06450959,0.639944011654534,2003,Central Coast,summer
max_relative_humidity,0.06832441,0.7360201717988968,2003,Central Coast,summer
specific_humidity,0.08406248,-0.6497881860958202,2003,Central Coast,summer
min_air_temperature,0.101392165,0.6876206816777019,2003,Central Coast,summer
LAI,0.12880327,0.7122515008850843,2003,Central Coast,summer
dead_fuel_moisture_1000hr,0.15587199,-0.4891843504040032,2003,Central Coast,summer
slope_max,0.17481185,-0.4369334417810502,2003,Central Coast,summer
surface_downwelling_shortwave_flux_in_air,0.18932386,0.7539339442878347,2003,Central Coast,summer
line_density_km_per_cell,0.23026717,0.7730062371638055,2003,Central Coast,summer
road_density_km_km2,0.62299246,0.5459789004174179,2003,Central Coast,summer
max_air_temperature,0.7964462,0.829983894210423,2003,Central Coast,summer
veg_group_Conifer Forest,0.04441935,-0.8364684234580805,2003,Central Coast,winter
veg_group_Conifer Alpine,0.047780935,0.8183520170043902,2003,Central Coast,winter
dead_fuel_moisture_100hr,0.05301361,-0.20248088849521495,2003,Central Coast,winter
min_air_temperature,0.058313552,0.5885815197131883,2003,Central Coast,winter
min_relative_humidity,0.07193066,-0.5975621180739457,2003,Central Coast,winter
max_relative_humidity,0.07207129,0.7571270546415668,2003,Central Coast,winter
wind_speed,0.08616265,0.8425663924124731,2003,Central Coast,winter
slope_max,0.12071874,-0.3584998806247054,2003,Central Coast,winter
specific_humidity,0.13545577,-0.8170183364587907,2003,Central Coast,winter
surface_downwelling_shortwave_flux_in_air,0.16574751,0.5290412263878426,2003,Central Coast,winter
dead_fuel_moisture_1000hr,0.17639011,-0.8182906700420405,2003,Central Coast,winter
LAI,0.18597569,0.6663474377354067,2003,Central Coast,winter
line_density_km_per_cell,0.22938259,0.5881219446406049,2003,Central Coast,winter
max_air_temperature,0.29772085,0.9119537021772848,2003,Central Coast,winter
road_density_km_km2,0.5540407,0.5102684110144581,2003,Central Coast,winter
wind_speed,0.045189716,0.5799634161313415,2003,North Interior,summer
max_relative_humidity,0.045472942,0.5111511416623414,2003,North Interior,summer
wind_direction_category_SW,0.049752254,0.9418866998077644,2003,North Interior,summer
dead_fuel_moisture_100hr,0.064622976,-0.3417671370529998,2003,North Interior,summer
veg_group_Desert,0.06767871,-0.9579168689361314,2003,North Interior,summer
min_air_temperature,0.074532546,0.8367355605935322,2003,North Interior,summer
specific_humidity,0.07606926,-0.7948368091435791,2003,North Interior,summer
veg_group_Grassland,0.09990116,-0.9867643317955277,2003,North Interior,summer
slope_max,0.10776088,-0.3351201475416013,2003,North Interior,summer
surface_downwelling_shortwave_flux_in_air,0.13183953,0.761617694176697,2003,North Interior,summer
LAI,0.13552798,0.8713943268578325,2003,North Interior,summer
dead_fuel_moisture_1000hr,0.16904154,-0.7265087507663082,2003,North Interior,summer
line_density_km_per_cell,0.1908321,0.8162744038961971,2003,North Interior,summer
road_density_km_km2,0.5255441,0.6790674193387126,2003,North Interior,summer
max_air_temperature,0.5324168,0.9192826257856643,2003,North Interior,summer
precipitation_amount,0.045662798,-0.9173881089972191,2003,North Interior,winter
